disease,MAE,n,variant,seed_run,fold_test_year
Measles,0.7164087891578674,15,transformer_only,123,2022
Mpox,2.5870511531829834,15,transformer_only,123,2022
Yellow Fever,0.3916369080543518,15,transformer_only,123,2022
AFP,0.3474121391773224,15,no_tcn,123,2022
CSM,0.5339984893798828,15,no_tcn,123,2022
Cholera,1.6347274780273438,15,no_tcn,123,2022
Lassa Fever,0.23818142712116241,15,no_tcn,123,2022
Measles,0.6337157487869263,15,no_tcn,123,2022
Mpox,2.5067169666290283,15,no_tcn,123,2022
Yellow Fever,0.483087420463562,15,no_tcn,123,2022
AFP,0.3314906656742096,15,no_bilstm,123,2022
CSM,0.6208927631378174,15,no_bilstm,123,2022
Cholera,1.3146557807922363,15,no_bilstm,123,2022
Lassa Fever,0.20092560350894928,15,no_bilstm,123,2022
Measles,0.5905882120132446,15,no_bilstm,123,2022
Mpox,2.4017252922058105,15,no_bilstm,123,2022
Yellow Fever,0.5864309668540955,15,no_bilstm,123,2022
AFP,0.3558027446269989,15,no_transformer,123,2022
CSM,0.6712606549263,15,no_transformer,123,2022
Cholera,1.3189202547073364,15,no_transformer,123,2022
Lassa Fever,0.1662401556968689,15,no_transformer,123,2022
Measles,0.6909435391426086,15,no_transformer,123,2022
Mpox,2.400233030319214,15,no_transformer,123,2022
Yellow Fever,0.6097339391708374,15,no_transformer,123,2022
AFP,0.3595014810562134,15,full_uniform,123,2022
CSM,0.5471815466880798,15,full_uniform,123,2022
Cholera,1.646262288093567,15,full_uniform,123,2022
Lassa Fever,0.23425261676311493,15,full_uniform,123,2022
Measles,0.6233333945274353,15,full_uniform,123,2022
Mpox,2.4991977214813232,15,full_uniform,123,2022
Yellow Fever,0.4702194035053253,15,full_uniform,123,2022
AFP,0.8209334015846252,22,tcn_only,123,2023
CSM,1.2715818881988525,22,tcn_only,123,2023
Cholera,0.9583728313446045,22,tcn_only,123,2023
Lassa Fever,0.3061550259590149,22,tcn_only,123,2023
Measles,1.5894488096237183,22,tcn_only,123,2023
Mpox,1.754806399345398,22,tcn_only,123,2023
Yellow Fever,0.5945913195610046,22,tcn_only,123,2023
AFP,0.836609423160553,22,bilstm_only,123,2023
CSM,1.1667819023132324,22,bilstm_only,123,2023
Cholera,1.068640947341919,22,bilstm_only,123,2023
Lassa Fever,0.28556931018829346,22,bilstm_only,123,2023
Measles,1.6616228818893433,22,bilstm_only,123,2023
