day,Susceptible,Exposed,Infectious,Recovered
182.0,6808339.620734657,6207.464955454256,62330.891693013036,193123122.02261686
183.0,6807627.745815833,5731.388578158905,57543.39633573273,193129097.46927026
184.0,6806970.474395453,5291.626416129842,53122.82162933773,193134615.07755905
185.0,6806362.992409618,4884.0931144939705,49037.852641216974,193139715.06183466
186.0,6805801.295725656,4506.35094218085,45261.387872079904,193144430.96546006
187.0,6805282.431517511,4157.38694544568,41772.59653429054,193148787.58500275
188.0,6804803.484486844,3835.393805595588,38551.779630199635,193152809.34207734
189.0,6804361.647995963,3538.587868292369,35580.01483623247,193156519.7492995
190.0,6803954.22406781,3265.2091435524835,32839.15650288884,193159941.41028574
191.0,6803578.623385973,3013.5213057470587,30311.835654743103,193163096.01965353
192.0,6803232.365294681,2781.811693601886,27981.459990444102,193166004.36302125
193.0,6802913.077798801,2568.391310197426,25832.213882715252,193168686.3170083
194.0,6802618.497563843,2371.594822968801,23849.05837835447,193171160.84923482
195.0,6802346.469915958,2189.7805637058027,22017.73119823423,193173446.01832208
196.0,6802094.94884194,2021.3305285528872,20324.7467373015,193175558.9738922
197.0,6801862.2796032885,1865.202038193732,18758.912805275846,193177513.60555324
198.0,6801647.318086236,1720.9430122265544,17312.206456703767,193179319.53244483
199.0,6801448.874934018,1587.7992100245983,15976.588605781595,193180986.73725018
200.0,6801265.802477488,1465.0308023109478,14744.31380684481,193182524.85291335
201.0,6801096.994809272,1351.9125412685348,13607.930625130626,193183943.16202432
202.0,6800941.387783757,1247.7337605401403,12560.281636778016,193185250.59681892
203.0,6800797.959017102,1151.7983752283942,11594.503428827702,193186455.73917884
204.0,6800665.727887228,1063.4248818957735,10704.026599222141,193187566.82063165
205.0,6800543.7555338275,981.946358564606,9882.575756805556,193188591.7223508
206.0,6800431.144858359,906.7104647170656,9124.1695213239,193189537.9751556
207.0,6800327.040524048,837.0794412951773,8423.120523424892,193190412.75951123
208.0,6800230.690532546,772.5197496391926,7774.399452713868,193191222.39026508
209.0,6800141.635064435,712.8321081823217,7174.798817816999,193191970.73400953
210.0,6800059.400403789,657.7204786071479,6621.108791701599,193192661.77032587
211.0,6799983.5205945745,606.882019212336,6110.184110040589,193193299.41327614
212.0,6799913.545827577,560.0210989002575,5638.991762310434,193193887.44131118
213.0,6799849.0424404,516.8492971769906,5204.6109917911435,193194429.4972706
214.0,6799789.592917467,477.0854041523205,4804.233295566271,193194929.08838278
215.0,6799734.7958900165,440.4554205397387,4435.162424522917,193195389.5862649
216.0,6799684.266136108,406.6925576564438,4094.8143833517224,193195814.22692287
217.0,6799637.634580617,375.5372374233411,3780.717430546875,193196206.1107514
218.0,6799594.548295239,346.7370923650423,3490.5120784061064,193196568.20253396
219.0,6799554.673375496,320.0504088013242,3221.9689067529735,193196903.30730894
220.0,6799517.78657127,295.3480825027528,2973.563883126696,193197213.3014631
221.0,6799483.710855973,272.52801417369693,2744.0882802678934,193197499.67284957
222.0,6799452.257976022,251.46712292467708,2532.271588184979,193197764.00331286
223.0,6799423.24594859,232.04556318753714,2336.8864791193655,193198007.8220091
224.0,6799396.499061611,214.14672471544498,2156.7488075454658,193198232.6054061
225.0,6799371.847873769,197.65723258289188,1990.717610170692,193198439.77728346
226.0,6799349.129214507,182.4669471856929,1837.6951059354549,193198630.70873237
